"age_group","value","state","substance"
All,11179,Texas,alcohol
12to17,18,Utah,alcohol
18to25,132,Utah,alcohol
26plus,592,Utah,alcohol
All,742,Utah,alcohol
12to17,6,Vermont,alcohol
18to25,50,Vermont,alcohol
26plus,277,Vermont,alcohol
All,332,Vermont,alcohol
12to17,57,Virginia,alcohol
18to25,507,Virginia,alcohol
26plus,3057,Virginia,alcohol
All,3621,Virginia,alcohol
12to17,54,Washington,alcohol
18to25,393,Washington,alcohol
26plus,3050,Washington,alcohol
All,3497,Washington,alcohol
12to17,12,West Virginia,alcohol
18to25,84,West Virginia,alcohol
26plus,498,West Virginia,alcohol
All,594,West Virginia,alcohol
12to17,49,Wisconsin,alcohol
18to25,409,Wisconsin,alcohol
26plus,2490,Wisconsin,alcohol
All,2948,Wisconsin,alcohol
12to17,4,Wyoming,alcohol
18to25,33,Wyoming,alcohol
26plus,212,Wyoming,alcohol
All,249,Wyoming,alcohol
12to17,1,Alabama,cocaine
18to25,21,Alabama,cocaine
26plus,51,Alabama,cocaine
All,73,Alabama,cocaine
12to17,0,Alaska,cocaine
18to25,4,Alaska,cocaine
26plus,8,Alaska,cocaine
All,12,Alaska,cocaine
12to17,3,Arizona,cocaine
18to25,41,Arizona,cocaine
26plus,67,Arizona,cocaine
All,110,Arizona,cocaine
12to17,1,Arkansas,cocaine
18to25,10,Arkansas,cocaine
26plus,17,Arkansas,cocaine
All,28,Arkansas,cocaine
12to17,16,California,cocaine
18to25,322,California,cocaine
26plus,572,California,cocaine
All,909,California,cocaine
12to17,3,Colorado,cocaine
18to25,65,Colorado,cocaine
26plus,130,Colorado,cocaine
All,198,Colorado,cocaine
12to17,1,Connecticut,cocaine
18to25,24,Connecticut,cocaine
26plus,36,Connecticut,cocaine
All,61,Connecticut,cocaine
12to17,0,Delaware,cocaine
18to25,6,Delaware,cocaine
26plus,12,Delaware,cocaine
All,18,Delaware,cocaine
12to17,5,Florida,cocaine
18to25,99,Florida,cocaine
26plus,211,Florida,cocaine
All,315,Florida,cocaine
12to17,2,Georgia,cocaine
